Team_Name,Player_Name,Player_No,espn_url,Position,Age,Height,Weight,College,Salary,espn_id,espn_headshot
Orlando Magic,Jonathan Isaac,1,https://www.espn.com/nba/player/_/id/4065654/jonathan-isaac,PF,26,"6' 10""",230 lbs,Florida State,$17_400_000,4065654,https://a.espncdn.com/i/headshots/nba/players/full/4065654.png
Orlando Magic,Chuma Okeke,3,https://www.espn.com/nba/player/_/id/4278052/chuma-okeke,PF,25,"6' 7""",229 lbs,Auburn,$5_266_713,4278052,https://a.espncdn.com/i/headshots/nba/players/full/4278052.png
Orlando Magic,Trevelin Queen,12,https://www.espn.com/nba/player/_/id/4409222/trevelin-queen,SG,27,"6' 5""",190 lbs,New Mexico State,--,4409222,https://a.espncdn.com/i/headshots/nba/players/full/4409222.png
Orlando Magic,Admiral Schofield,25,https://www.espn.com/nba/player/_/id/3918423/admiral-schofield,SF,26,"6' 5""",241 lbs,Tennessee,--,3918423,https://a.espncdn.com/i/headshots/nba/players/full/3918423.png
Orlando Magic,Jalen Suggs,4,https://www.espn.com/nba/player/_/id/4432165/jalen-suggs,SG,22,"6' 5""",205 lbs,Gonzaga,$7_252_080,4432165,https://a.espncdn.com/i/headshots/nba/players/full/4432165.png
Orlando Magic,Franz Wagner,22,https://www.espn.com/nba/player/_/id/4566434/franz-wagner,SF,22,"6' 10""",220 lbs,Michigan,$5_508_720,4566434,https://a.espncdn.com/i/headshots/nba/players/full/4566434.png
Philadelphia 76ers,Mo Bamba,5,https://www.espn.com/nba/player/_/id/4277919/mo-bamba,C,25,"7' 0""",231 lbs,Texas,$2_019_706,4277919,https://a.espncdn.com/i/headshots/nba/players/full/4277919.png
Philadelphia 76ers,Nicolas Batum,40,https://www.espn.com/nba/player/_/id/3416/nicolas-batum,PF,35,"6' 8""",230 lbs,--,$11_710_818,3416,https://a.espncdn.com/i/headshots/nba/players/full/3416.png
Philadelphia 76ers,Ricky Council IV,16,https://www.espn.com/nba/player/_/id/4701234/ricky-council-iv,G,22,"6' 6""",207 lbs,Arkansas,--,4701234,https://a.espncdn.com/i/headshots/nba/players/full/4701234.png
Philadelphia 76ers,Robert Covington,33,https://www.espn.com/nba/player/_/id/2490620/robert-covington,PF,33,"6' 7""",209 lbs,Tennessee State,$11_692_308,2490620,https://a.espncdn.com/i/headshots/nba/players/full/2490620.png
Philadelphia 76ers,Jeff Dowtin Jr.,21,https://www.espn.com/nba/player/_/id/4066786/jeff-dowtin-jr,G,26,"6' 3""",177 lbs,Rhode Island,--,4066786,https://a.espncdn.com/i/headshots/nba/players/full/4066786.png
Philadelphia 76ers,Joel Embiid,21,https://www.espn.com/nba/player/_/id/3059318/joel-embiid,C,30,"7' 0""",280 lbs,Kansas,$46_900_000,3059318,https://a.espncdn.com/i/headshots/nba/players/full/3059318.png
Philadelphia 76ers,Tobias Harris,12,https://www.espn.com/nba/player/_/id/6440/tobias-harris,PF,31,"6' 8""",226 lbs,Tennessee,$39_270_150,6440,https://a.espncdn.com/i/headshots/nba/players/full/6440.png
Philadelphia 76ers,Buddy Hield,17,https://www.espn.com/nba/player/_/id/2990984/buddy-hield,SG,31,"6' 4""",220 lbs,Oklahoma,$19_279_841,2990984,https://a.espncdn.com/i/headshots/nba/players/full/2990984.png
Philadelphia 76ers,Kai Jones,23,https://www.espn.com/nba/player/_/id/4431699/kai-jones,PF,23,"6' 11""",221 lbs,Texas,$3_047_880,4431699,https://a.espncdn.com/i/headshots/nba/players/full/4431699.png
Philadelphia 76ers,Kyle Lowry,7,https://www.espn.com/nba/player/_/id/3012/kyle-lowry,PG,37,"6' 0""",196 lbs,Villanova,$2_795_839,3012,https://a.espncdn.com/i/headshots/nba/players/full/3012.png
Philadelphia 76ers,KJ Martin,1,https://www.espn.com/nba/player/_/id/4431828/kj-martin,F,23,"6' 6""",215 lbs,--,$1_930_681,4431828,https://a.espncdn.com/i/headshots/nba/players/full/4431828.png
Philadelphia 76ers,Tyrese Maxey,0,https://www.espn.com/nba/player/_/id/4431678/tyrese-maxey,PG,23,"6' 2""",200 lbs,Kentucky,$4_343_920,4431678,https://a.espncdn.com/i/headshots/nba/players/full/4431678.png
Philadelphia 76ers,De'Anthony Melton,8,https://www.espn.com/nba/player/_/id/4066436/deanthony-melton,SG,25,"6' 3""",200 lbs,USC,$8_000_000,4066436,https://a.espncdn.com/i/headshots/nba/players/full/4066436.png
Philadelphia 76ers,Kelly Oubre Jr.,9,https://www.espn.com/nba/player/_/id/3133603/kelly-oubre-jr,SG,28,"6' 7""",203 lbs,Kansas,$2_019_706,3133603,https://a.espncdn.com/i/headshots/nba/players/full/3133603.png
Philadelphia 76ers,Cameron Payne,22,https://www.espn.com/nba/player/_/id/3064230/cameron-payne,PG,29,"6' 3""",183 lbs,Murray State,$6_500_000,3064230,https://a.espncdn.com/i/headshots/nba/players/full/3064230.png
Philadelphia 76ers,Paul Reed,44,https://www.espn.com/nba/player/_/id/4278562/paul-reed,SF,24,"6' 9""",210 lbs,DePaul,$7_723_000,4278562,https://a.espncdn.com/i/headshots/nba/players/full/4278562.png
Phoenix Suns,Grayson Allen,8,https://www.espn.com/nba/player/_/id/3135045/grayson-allen,SG,28,"6' 4""",198 lbs,Duke,$8_925_000,3135045,https://a.espncdn.com/i/headshots/nba/players/full/3135045.png
Phoenix Suns,Udoka Azubuike,27,https://www.espn.com/nba/player/_/id/4066299/udoka-azubuike,C,24,"6' 11""",270 lbs,Kansas,--,4066299,https://a.espncdn.com/i/headshots/nba/players/full/4066299.png
Phoenix Suns,Bradley Beal,3,https://www.espn.com/nba/player/_/id/6580/bradley-beal,SG,30,"6' 4""",207 lbs,Florida,$46_741_590,6580,https://a.espncdn.com/i/headshots/nba/players/full/6580.png
Phoenix Suns,Bol Bol,11,https://www.espn.com/nba/player/_/id/4397102/bol-bol,C,24,"7' 3""",220 lbs,Oregon,$2_019_706,4397102,https://a.espncdn.com/i/headshots/nba/players/full/4397102.png
Phoenix Suns,Devin Booker,1,https://www.espn.com/nba/player/_/id/3136193/devin-booker,SG,27,"6' 6""",206 lbs,Kentucky,$36_016_200,3136193,https://a.espncdn.com/i/headshots/nba/players/full/3136193.png
Phoenix Suns,Kevin Durant,35,https://www.espn.com/nba/player/_/id/3202/kevin-durant,PF,35,"6' 11""",240 lbs,Texas,$47_649_433,3202,https://a.espncdn.com/i/headshots/nba/players/full/3202.png
Phoenix Suns,Drew Eubanks,14,https://www.espn.com/nba/player/_/id/3914285/drew-eubanks,PF,27,"6' 10""",245 lbs,Oregon State,$2_346_614,3914285,https://a.espncdn.com/i/headshots/nba/players/full/3914285.png
Phoenix Suns,Eric Gordon,23,https://www.espn.com/nba/player/_/id/3431/eric-gordon,SG,35,"6' 3""",215 lbs,Indiana,$3_196_448,3431,https://a.espncdn.com/i/headshots/nba/players/full/3431.png
Phoenix Suns,Damion Lee,10,https://www.espn.com/nba/player/_/id/2595209/damion-lee,SG,31,"6' 6""",210 lbs,Louisville,$2_528_233,2595209,https://a.espncdn.com/i/headshots/nba/players/full/2595209.png
