
CBJ,columbus-blue-jackets,Elvis Merzlikins,90,29,6'3",184 lbs,L,Riga,Latvia,04/13/94,
CBJ,columbus-blue-jackets,Daniil Tarasov,40,24,6'5",201 lbs,L,Novosibirsk,Russia,05/27/99,
NJD,new-jersey-devils,Nico Hischier,13,25,6'1",175 lbs,L,Naters,Switzerland,01/04/99,
NJD,new-jersey-devils,Jack Hughes,86,22,5'11",175 lbs,L,Orlando,FL,05/14/01,
NJD,new-jersey-devils,Curtis Lazar,42,29,6'0",203 lbs,R,Salmon Arm,CAN,02/02/95,
NJD,new-jersey-devils,Michael McLeod,20,26,6'2",190 lbs,R,Mississauga,CAN,02/03/98,
NJD,new-jersey-devils,Dawson Mercer,91,22,6'0",180 lbs,R,Carbonear,CAN,10/27/01,
NJD,new-jersey-devils,Chris Tierney,11,29,6'1",191 lbs,L,Keswick,CAN,07/01/94,
NJD,new-jersey-devils,Jesper Bratt,63,25,5'10",175 lbs,L,Stockholm,Sweden,07/30/98,
NJD,new-jersey-devils,Erik Haula,56,32,5'11",191 lbs,L,Pori,Finland,03/23/91,
NJD,new-jersey-devils,Samuel Laberge,79,26,6'2",206 lbs,L,Chateauguay,CAN,04/10/97,
NJD,new-jersey-devils,Tomas Nosek,92,31,6'3",205 lbs,L,Pardubice,Czechoslovakia,09/01/92,
NJD,new-jersey-devils,Ondrej Palat,18,32,6'0",194 lbs,L,FrydekMistek,Czechoslovakia,03/28/91,
NJD,new-jersey-devils,Nathan Bastian,14,26,6'4",205 lbs,R,Kitchener,CAN,12/06/97,
NJD,new-jersey-devils,Graeme Clarke,95,22,5'11",175 lbs,R,Ottawa,CAN,04/24/01,
NJD,new-jersey-devils,Yushiroh Hirano,71,28,6'1",216 lbs,,Tomakomai,Japan,08/18/95,
NJD,new-jersey-devils,Alexander Holtz,10,22,6'0",195 lbs,R,SaltsjoBoo,Sweden,01/23/02,
NJD,new-jersey-devils,Timo Meier,28,27,6'1",220 lbs,L,St. Gallen,Switzerland,10/08/96,
NJD,new-jersey-devils,Tyler Toffoli,73,31,6'0",203 lbs,R,Scarborough,CAN,04/24/92,
NJD,new-jersey-devils,Kevin Bahl,88,23,6'6",230 lbs,L,New Westminster,CAN,06/27/00,
NJD,new-jersey-devils,Nick DeSimone,57,29,6'2",185 lbs,R,East Amherst,NY,11/21/94,
NJD,new-jersey-devils,Cal Foote,52,25,6'5",224 lbs,R,Englewood,CO,12/13/98,
NJD,new-jersey-devils,Dougie Hamilton,7,30,6'6",230 lbs,R,Toronto,CAN,06/17/93,
NJD,new-jersey-devils,Luke Hughes,43,20,6'2",184 lbs,L,Canton,MI,09/09/03,
NJD,new-jersey-devils,John Marino,6,26,6'1",181 lbs,R,North Easton,MA,05/21/97,
NJD,new-jersey-devils,Colin Miller,24,31,6'1",200 lbs,R,Sault Ste. Marie,CAN,10/29/92,
NJD,new-jersey-devils,Simon Nemec,17,20,6'1",190 lbs,R,Liptovsky Mikulas,Czechoslovakia,02/15/04,
NJD,new-jersey-devils,Jonas Siegenthaler,71,26,6'2",218 lbs,L,Zurich,Switzerland,05/06/97,
NJD,new-jersey-devils,Brendan Smith,2,35,6'2",200 lbs,L,Mimico,CAN,02/08/89,
NJD,new-jersey-devils,Nico Daws,50,23,6'4",205 lbs,L,Munich,Germany,12/22/00,
NJD,new-jersey-devils,Akira Schmid,40,23,6'5",205 lbs,L,Bern,Switzerland,05/12/00,
NYI,new-york-islanders,Mathew Barzal,13,26,6'1",190 lbs,R,Coquitlam,CAN,05/26/97,
NYI,new-york-islanders,Casey Cizikas,53,32,5'11",194 lbs,L,Toronto,CAN,02/27/91,
NYI,new-york-islanders,Bo Horvat,14,28,6'1",213 lbs,L,London,CAN,04/05/95,
NYI,new-york-islanders,Kyle MacLean,32,24,6'1",190 lbs,L,Livingston,NJ,04/29/99,
NYI,new-york-islanders,Brock Nelson,29,32,6'4",210 lbs,L,Warroad,MN,10/15/91,
NYI,new-york-islanders,JeanGabriel Pageau,44,31,5'11",185 lbs,R,Ottawa,CAN,11/11/92,
NYI,new-york-islanders,Kyle Palmieri,21,33,5'11",196 lbs,R,Smithtown,NY,02/01/91,
NYI,new-york-islanders,Pierre Engvall,18,27,6'5",215 lbs,L,Ljungby,Sweden,05/31/96,
NYI,new-york-islanders,Anders Lee,27,33,6'3",227 lbs,L,Edina,MN,07/03/90,
NYI,new-york-islanders,Matt Martin,17,34,6'3",215 lbs,L,Windsor,CAN,05/08/89,
NYI,new-york-islanders,Cal Clutterbuck,15,36,5'11",215 lbs,R,Welland,CAN,11/18/87,
NYI,new-york-islanders,Hudson Fasching,20,28,6'3",209 lbs,R,Milwaukee,WI,07/28/95,
NYI,new-york-islanders,Julien Gauthier,16,26,6'4",226 lbs,R,PointeAuxTrembles,CAN,10/15/97,
NYI,new-york-islanders,Simon Holmstrom,10,22,6'2",215 lbs,L,Tranas,Sweden,05/24/01,
NYI,new-york-islanders,Oliver Wahlstrom,26,23,6'2",200 lbs,R,Yarmouth,ME,06/13/00,
NYI,new-york-islanders,Sebastian Aho,25,28,5'10",180 lbs,L,Umea,Sweden,02/17/96,
NYI,new-york-islanders,Samuel Bolduc,4,23,6'4",220 lbs,L,Laval,CAN,12/09/00,
NYI,new-york-islanders,Robert Bortuzzo,41,34,6'4",216 lbs,R,Thunder Bay,CAN,03/18/89,
NYI,new-york-islanders,Noah Dobson,8,24,6'4",200 lbs,R,Summerside,CAN,01/07/00,
NYI,new-york-islanders,Scott Mayfield,24,31,6'5",220 lbs,R,Saint Louis,MO,10/14/92,
NYI,new-york-islanders,Adam Pelech,3,29,6'3",210 lbs,L,Toronto,CAN,08/16/94,
NYI,new-york-islanders,Ryan Pulock,6,29,6'2",216 lbs,R,Dauphin,CAN,10/06/94,
NYI,new-york-islanders,Mike Reilly,2,30,6'1",196 lbs,L,Chicago,IL,07/13/93,
NYI,new-york-islanders,Alexander Romanov,28,24,6'1",215 lbs,L,Moscow,Russia,01/06/00,
NYI,new-york-islanders,Ilya Sorokin,30,28,6'3",195 lbs,L,Mezhdurechensk,Russia,08/04/95,
NYI,new-york-islanders,Semyon Varlamov,40,35,6'2",205 lbs,L,Kuybyshev,USSR,04/27/88,
NYR,new-york-rangers,Nick Bonino,12,35,6'1",198 lbs,L,Hartford,CT,04/20/88,
NYR,new-york-rangers,Jonny Brodzinski,22,30,6'0",204 lbs,L,Ham Lake,MN,06/19/93,
NYR,new-york-rangers,Filip Chytil,72,24,6'2",208 lbs,L,Kromerlz,Czechia,09/05/99,
NYR,new-york-rangers,Adam Edstrom,84,23,6'7",234 lbs,L,,10/12/00,
NYR,new-york-rangers,Barclay Goodrow,21,30,6'2",209 lbs,L,Toronto,CAN,02/26/93,
NYR,new-york-rangers,Jake Leschyshyn,15,24,5'10",189 lbs,L,Raleigh,NC,03/10/99,
NYR,new-york-rangers,Riley Nash,18,34,6'2",185 lbs,R,Consort,CAN,05/09/89,
NYR,new-york-rangers,Matt Rempe,73,21,6'7",241 lbs,,,06/29/02,
